#Run,conv1_block,base_filter_num,conv1_kernel,conv2_kernel,dense_size,drop,batch_size,learning_rate,avg_loss_validation,avg_accuracy_validation
64,4,48,17,36,6,0.06320846273744228,64,0.014360089846512606,2.087010850631651,0.18930041225849356
65,2,40,15,15,14,0.04525046917781968,8,0.3187891292677646,2.4586691473737177,0.1069958848349842
66,3,16,41,24,29,0.3128589564159637,32,0.003859993617679767,0.27923243805582143,0.9012345679012346
67,5,33,8,12,82,0.5337254918292833,32,0.05281079711934331,2.411380087887799,0.27983539106914534
68,3,10,28,40,71,0.5309103988842536,64,0.04291732378422158,1.2339541806605618,0.5761316882239448
69,2,11,43,40,49,0.17198548784003778,8,0.00011750871309048076,0.5805513823228609,0.740740741231314
70,5,32,18,10,24,0.7167777496910819,8,8.412497049736118,13.730229652467578,0.1481481482094698
71,3,42,21,37,88,0.7551478888640147,16,0.0057115864781264345,0.46640405463583673,0.8106995901943724
72,4,13,31,44,99,0.8080460439275574,64,0.04291732378422158,3.040209220760644,0.10699588480432337
73,2,41,49,16,46,0.5763550336372076,32,0.0004738879609717651,0.40575346209630064,0.8106995901943724
74,1,10,33,45,25,0.30956011990952204,16,0.027066520700332414,0.5247298973332707,0.8106995872509333
75,1,25,9,46,26,0.1633701390228238,16,1.4593657991557576,14.393525445412216,0.1069958848349842
76,2,31,45,18,88,0.5486043810103716,64,0.00023462288481422623,0.44648999754538754,0.8477366272314095
77,1,49,9,35,99,0.11828211918292524,32,0.06883952069645496,1.1213065636010817,0.5802469150519666
78,5,12,47,16,67,0.027717769538857163,4,0.014360089846512606,0.5713400979959425,0.7901234555636905
79,1,20,16,45,33,0.0753799744981392,8,0.014195547660501016,0.6340454822950402,0.6790123478865918
80,4,19,17,42,43,0.16863999841254512,32,0.013713147177539456,2.29096020200125,0.09876543212942626
81,5,47,10,27,33,0.054907636568384204,32,0.29408201705870635,2.4060403280297424,0.12757201658354866
82,3,2,29,49,56,0.4556802610727089,16,0.01208042134677329,1.1908114471553284,0.46090535126595833
83,1,18,19,40,26,0.4777913823510211,16,0.6665363268124913,2.453206431227947,0.1069958848349842
84,5,26,3,11,90,0.026445191546492653,32,0.2010496416260499,2.5076137010943254,0.09876543283462524
85,4,23,47,32,20,0.6823938502145169,4,4.673795107992464,14.526184588302801,0.09876543283462524
86,3,27,19,26,75,0.5885259301814225,16,0.002001249798969037,0.2905656215830595,0.8765432115935494
87,4,33,3,40,64,0.17366896067983614,4,0.00034319071974590426,0.3183372638537069,0.8724279852561009
88,6,24,15,25,89,0.5369176307068182,4,0.053422932995383525,2.05289521678485,0.32510288139429605
89,3,16,5,43,25,0.7261991648853686,32,0.0001567455410205595,1.704844315846761,0.3086419760445018
90,3,49,3,11,49,0.0026670395156364493,8,1.1067360180959744,13.730229652467578,0.1481481482094698
91,5,12,12,49,44,0.4117420607528645,16,0.016300923609797412,0.5106871063081325,0.7901234572806967
