#Run,conv1_block,base_filter_num,conv1_kernel,conv2_kernel,dense_size,drop,batch_size,learning_rate,avg_loss_validation,avg_accuracy_validation,average_accuracy_test
0,3,32,27,30,97,0.16758622645043564,8,0.00045989920905224383,0.20067944762147505,0.9185185186656906,0.9489711927778928
1,5,28,33,48,81,0.035463914944594055,8,0.005672228971644543,0.27671281995842,0.9028806594173604,0.9259259264655564
2,3,41,48,28,74,0.2954415806863076,32,0.0002525820026962785,0.2003390087021722,0.9135802475513254,0.9226337463276867
3,2,29,37,40,47,0.13111077364878976,32,0.0003254711605531848,0.2526957989229587,0.9037037042433342,0.9152263383315915
4,3,51,20,38,78,0.254794748479747,8,0.0007258733650817253,0.1895468738098694,0.936625513765547,0.9456790125419083
5,4,57,10,17,32,0.4965941730477701,16,0.0015819734815786014,0.21384022882200565,0.9160493835990812,0.9275720172458225
6,4,33,17,46,62,0.22893761609263813,32,0.007689283720758305,0.2919140406228878,0.8847736632873001,0.8847736628457843
7,3,34,35,14,61,0.1221649495927023,32,0.0007671581176779302,0.2171053348622695,0.9226337448069097,0.92345679134989
8,4,40,14,12,33,0.03714838951047167,8,0.0019737643263002553,0.2376335615606465,0.9102880664813666,0.9185185178807733
9,3,59,25,36,35,0.4516703107409916,32,0.0002731721598441376,0.28357121609611274,0.8790123454827832,0.8954732521571248
10,2,29,24,31,23,0.19939953425259865,8,0.0009310413487069075,0.2212370550558891,0.9242798362739781,0.9176954731038569
11,4,15,23,48,36,0.10034501980855665,32,0.0077963601304052365,0.28801292174882853,0.8971193421034165,0.9069958841359174
12,4,57,15,36,97,0.4296984737508738,16,0.0001023316578330245,0.3950867932519795,0.8469135813261748,0.8436213984901523
13,3,47,20,30,47,0.2421381949534716,16,0.0009704808877380307,0.23834043315653938,0.9069958855585798,0.9020576125309792
14,5,47,26,35,17,0.24928406344575005,8,0.002590677858688006,0.2766768845633715,0.8921810702531916,0.908641976682247
15,3,28,32,11,70,0.09112916558368367,8,0.00012080421346773289,0.21677585762959942,0.9242798351947172,0.9283950622680257
16,4,33,47,12,59,0.42266971813471216,32,0.004985373463873894,0.22966038551902085,0.9267489713896448,0.9185185189600344
17,4,31,29,25,37,0.17780291015768634,32,0.00042327890655735487,0.24946551007743722,0.8979423859482439,0.898765432049708
18,4,41,16,19,55,0.2926479442569561,32,0.00013065201621247213,0.4553850979961976,0.8024691380100486,0.8477366242879703
19,4,13,48,41,86,0.22665450793848047,32,0.0038867766908926675,0.23735235576889643,0.9053497942877404,0.91851851812606
20,2,28,43,22,54,0.3675738754555436,32,0.0011509622008850323,0.2131322972875073,0.9127572028725236,0.9201646078270649
21,5,48,17,15,34,0.05061144841044274,8,0.0002314005380130654,0.2174168780997947,0.9127572019404345,0.9267489717330463
22,5,43,48,43,31,0.3536748354919702,16,0.00035362955013550426,0.24751683030844718,0.8913580247404154,0.897119342790219
23,4,29,27,17,99,0.4896614687940141,8,0.0012108297502320393,0.22513648953457427,0.9144032925735285,0.910288065794564
24,2,40,31,42,25,0.20164609734574063,8,0.0005898896425508494,0.2463350403210754,0.8897119343035506,0.9144032921320127
25,4,55,23,35,56,0.050592112963172786,8,0.004242556430717777,0.2774806821910442,0.885596707966102,0.8971193411713274
26,4,31,44,40,57,0.2915222013790646,16,0.0011195643194838783,0.2188736343702662,0.9267489723217339,0.9102880652058764
27,5,32,35,15,30,0.16806590373558156,32,0.0007814350607844542,0.2641835672742545,0.8773662544572304,0.8946502045348839
28,5,53,15,31,26,0.33937063069372514,32,0.0005454271305329836,0.22246072200345407,0.9020576139045842,0.9069958856566943
29,5,35,26,31,53,0.43720856941697017,32,0.000209083769055575,0.29584642373975906,0.8814814811871375,0.8691358024200785
30,4,43,34,25,83,0.16024133919392453,16,0.0059125084138318814,0.2545896000822876,0.9193415647671547,0.9037037030659587
31,4,14,38,19,79,0.37957909112994676,32,0.002038493398252464,0.2398705453907021,0.9094650211157622,0.8913580243970142
32,2,60,47,39,84,0.47989556112326653,8,0.0018935521797562953,0.2266439984977981,0.9127572013517465,0.91604938325568
33,4,54,11,25,46,0.27657929390697206,32,0.0001521185517986105,0.3392987984688684,0.8189300433598428,0.8312757223721885
34,2,26,50,26,35,0.4916363681178975,8,0.005101615314749833,0.26915930556171713,0.8971193418581299,0.8905349790314097
35,3,11,32,31,80,0.27408896330530763,16,0.007832382599179196,0.26734603273034585,0.9004115229280888,0.8938271612787444
36,3,58,36,33,26,0.29329789634172365,8,0.002245697995539774,0.24331889556636535,0.9201646093478418,0.9012345687842664
37,4,29,18,21,90,0.16241795211191185,16,0.005391774640387505,0.31808642509542867,0.8312757223721885,0.8930041139999044
38,2,44,20,27,28,0.3675178824667476,8,0.00014065272421052364,0.2532575177802961,0.9078189309241841,0.9152263383315914
39,4,12,38,49,97,0.25253759832823275,8,0.004341478330055093,0.22985196509111075,0.9292181077808019,0.9045267500995118
40,3,12,49,13,22,0.4585221779457982,32,0.00019783188827841644,0.6401819464110543,0.7201646083176382,0.7654320992560053
41,4,17,46,19,51,0.35292957801494246,16,0.0011403996019700331,0.24173465269337954,0.9061728403892048,0.9020576128743804
42,5,48,22,46,23,0.1247326842317717,16,0.00029544079988803797,0.28309911357031925,0.8839506175782944,0.8913580247404154
43,2,49,34,22,49,0.03171064366046611,16,0.005220567527846975,0.27029740670580926,0.9086419753576992,0.9069958853132931
44,3,33,38,27,38,0.2875419841088049,16,0.00243998629725955,0.23946462694264245,0.9069958844793188,0.9045267489221359
45,4,56,33,15,27,0.3649370280268927,8,0.000209083769055575,0.2316361033008913,0.9004115233696048,0.9267489702122692
46,3,28,36,49,60,0.030294082027780556,16,0.003277294849923382,0.21909607476535647,0.9251028811980667,0.9218106998828212
