#Run,conv1_block,base_filter_num,conv1_kernel,conv2_kernel,dense_size,drop,batch_size,learning_rate,avg_loss_validation,avg_accuracy_validation,average_accuracy_test
47,2,30,30,22,65,0.3722917766365321,32,0.004321511127789762,0.24252694485854712,0.9119341563295436,0.9102880663832519
48,5,10,20,48,99,0.3097250884051693,16,0.009954008287621519,0.3424024494832435,0.8617283947673844,0.8526748980023733
49,3,55,40,49,24,0.006161275943479372,32,0.005994842503189409,0.3931931946503282,0.8477366247785435,0.9012345696182408
50,4,40,47,34,27,0.19263883741898413,16,0.0011195643194838783,0.2693766304740199,0.9012345691276675,0.8962962960019525
51,3,40,42,21,34,0.21843760728069134,32,0.0035444556739704356,0.27779666874634384,0.9111111110620538,0.925925925631582
52,3,17,46,47,16,0.32247888032341593,16,0.007376797602527731,0.2903111403984297,0.8872427985010815,0.8798353921729352
53,4,29,50,33,24,0.26690830619275724,16,0.00011859710123376694,0.21491879833088,0.9144032937509042,0.9069958845774332
54,5,22,33,40,18,0.4817737019874492,16,0.006191441755977848,0.3068561533964219,0.8674897126700163,0.8847736633363574
55,2,36,43,50,45,0.4664629495404439,16,0.000360210656235707,0.24596177216910534,0.886419753135477,0.9069958855585796
56,5,54,46,32,86,0.10165988841912726,8,0.0007393819919175866,0.2461711411736139,0.9004115242035791,0.9135802467664084
57,2,57,46,20,30,0.41007150857200675,8,0.0022664980792736927,0.19587232258339476,0.9193415638350654,0.9300411530482917
58,2,32,12,41,31,0.3454220440895249,8,0.00015282140360258693,0.3518340246667587,0.8271604943177338,0.9135802486305865
59,4,51,18,22,47,0.45189716445009376,32,0.0007359814475265771,0.24757179605617444,0.9028806590739592,0.8946502063009474
60,5,33,18,45,38,0.04514022126909184,8,0.003058338032378432,0.2534750990538931,0.9078189306788975,0.9004115230752607
61,3,51,27,18,61,0.2945348407397794,8,0.0014831025143361043,0.19865207300509935,0.9242798354400039,0.9366255145995215
62,4,43,29,12,24,0.07731944107632482,32,0.00017629753752872057,0.23316659831706393,0.9201646105252175,0.920164610427103
63,4,54,17,29,48,0.32232443771052355,8,0.001183240627458378,0.22733200633967363,0.9086419756029859,0.9102880666285385
64,3,24,13,12,100,0.31829931820543156,8,0.008870496889654403,0.2861235349634547,0.8823045278282322,0.8921810699097904
65,2,27,33,37,93,0.45185289223376746,8,0.000356904934567523,0.23022633197376266,0.9045267501976264,0.9078189294034071
66,4,56,17,25,61,0.06473202979192522,8,0.0017999285067824766,0.21871989978929607,0.92839506109065,0.9209876546153316
67,5,12,12,46,82,0.4012133518285329,16,0.0010447659715608043,0.25417060078171544,0.8913580241517275,0.9053497945330271
68,5,13,44,34,32,0.03180531294030409,16,0.00010280447320933097,0.273283445369069,0.8823045265527419,0.8814814818739402
69,3,39,43,37,32,0.26953177525437383,32,0.006424033659394191,0.3159689454752722,0.894650206399062,0.9004115222412864
70,5,45,45,16,91,0.3665336029396849,8,0.004849374067335233,0.24829271566352729,0.906995885901981,0.9037037035565317
71,4,24,17,24,81,0.3882788117848116,16,0.00024120282076180069,0.2480040071923056,0.8847736632873001,0.9152263383315915
72,2,21,46,30,31,0.059240102208157674,32,0.00029544079988803797,0.24169901613100073,0.9102880667266533,0.9053497940424539
73,2,16,11,37,47,0.2976358537656793,32,0.002566902715491952,0.2543041502252037,0.9020576128743804,0.9094650203799024
74,4,46,43,29,41,0.15507312591809025,32,0.0001270878709202058,0.2587305387351738,0.9078189303354962,0.8954732519118384
75,5,21,25,45,66,0.22445720571503497,32,0.0004117319931161679,0.19728596242366997,0.9283950617774523,0.9382716048892142
76,4,11,34,33,39,0.4123189710447086,16,0.0006409244019356456,0.3164725215346725,0.835390948709637,0.8641975330717769
77,5,51,30,45,95,0.4143963916960011,16,0.005391774640387505,0.27673433998239383,0.8888888903606086,0.8790123464639293
78,4,22,40,32,66,0.10698208744574222,32,0.0068839520696454964,0.286868401813041,0.9045267491674226,0.9086419758482724
79,3,39,44,18,75,0.1368702093181819,16,0.007275483529196233,0.27967289626107783,0.9053497946311417,0.9152263388221649
80,3,35,48,35,42,0.0703304700708508,16,0.0007292272058728313,0.2270939947523698,0.9102880662360799,0.9144032918867261
81,4,26,31,28,50,0.09559733133934917,8,0.002520004993764092,0.25960159108594616,0.9020576138064694,0.9061728394571155
82,5,11,22,50,53,0.2568975999943846,16,0.00018891927762076664,0.370534347040663,0.8436213996675279,0.8469135807374867
83,2,55,18,13,20,0.07723264265653029,32,0.00022302232979659386,0.22456413503782247,0.9152263374976171,0.9366255151882094
84,3,13,35,44,76,0.03296937139339223,16,0.0009098272894455558,0.205332848024957,0.9176954735453726,0.9292181084676046
85,5,33,50,30,98,0.10172226308092192,32,0.0026756384445520455,0.24570517584129617,0.9201646086610393,0.9086419761916738
86,4,34,33,20,42,0.18955631113150717,8,0.007142559285543126,0.29375529849725496,0.8946502067424633,0.897119342937391
87,4,14,27,43,72,0.23657050729771417,16,0.0003720236681413066,0.2263274691232438,0.9102880668247678,0.9135802471098096
88,3,35,46,33,15,0.39016946057169544,32,0.00020431973201952706,0.22112591126818715,0.9160493830103933,0.9102880655492775
89,5,15,34,11,39,0.4062391678545619,8,0.0006558685659571436,0.2766573723696878,0.8790123454827832,0.8839506166462053
90,2,29,35,13,25,0.006193046624759946,8,0.00016604286571875296,0.23961873144034004,0.9061728388684276,0.914403293407503
91,2,34,18,48,25,0.2752638283879664,32,0.00017793043899185773,0.33860641717910767,0.8312757206551823,0.8189300416428366
92,3,57,26,48,52,0.08281315017352009,16,0.0005043159487171359,0.201398091355469,0.930864198413896,0.9283950616793376
93,3,38,16,43,45,0.22238907944777153,32,0.00029680586086656025,0.23456979752077486,0.910288065794564,0.9152263382334768
94,3,44,35,39,62,0.23251896429690172,8,0.000952750047242729,0.20863099881896266,0.9325102874280985,0.9259259259749832
95,2,32,42,29,70,0.48419787813992776,16,0.002462585916350547,0.23972125938890404,0.8995884779058857,0.8905349803069
96,4,26,44,12,32,0.33155254818609325,16,0.004916903577628032,0.2723030296495422,0.8954732519118384,0.8831275725560912
97,5,31,36,50,75,0.4118920168057516,32,0.0002860595535175742,0.2899850486727899,0.8312757194287492,0.8888888893794621
98,5,41,24,26,83,0.30517108712110674,32,0.0074451229107951435,0.27289923721993414,0.9045267489221361,0.9061728394571155
99,2,16,28,48,77,0.06899475703975283,16,0.00036691423784024937,0.22120221621460384,0.9102880668247678,0.9275720173439371
100,2,14,18,37,84,0.4302260892951284,16,0.005620173848083188,0.2824316473409473,0.8872427986482533,0.8921810701550769
101,5,40,25,35,63,0.23731384191928506,16,0.006483534286054727,0.29400152798297474,0.8880658445044312,0.891358024985702
102,2,47,29,14,19,0.16041133032333976,32,0.004630902801799737,0.26177429945625885,0.9168724285231697,0.9185185190581491
103,4,22,48,39,70,0.3801991471292775,16,0.0002324697059985648,0.2417962290009353,0.8954732514212651,0.9053497945330271
104,3,44,42,11,22,0.40439680843316367,16,0.006220048825634711,0.26943208148450026,0.9078189303354962,0.9004115227318594
105,3,25,22,25,52,0.4112192595922371,16,0.00018805040551285815,0.285001814181422,0.8658436216444635,0.8864197536260502
106,4,38,14,45,37,0.27246256678531533,16,0.00017793043899185773,0.34811808417853995,0.8353909460114846,0.8633744867740833
107,4,21,39,15,49,0.0497127456435304,32,0.0001578331405652118,0.22917344024397218,0.9102880658926787,0.9119341575069193
108,4,45,21,19,85,0.2084875798435486,16,0.007275483529196233,0.25822630018118475,0.9135802468645229,0.9004115231733755
109,3,13,35,46,54,0.48547555776092494,32,0.002029118018046678,0.27914849366425487,0.8806584369498516,0.8962962976699013
110,2,23,15,23,55,0.07767089018457723,32,0.0014899550728528536,0.2426214754090878,0.909465020625189,0.9325102887035888
111,3,55,41,13,79,0.3402405850428963,8,0.002827817979625341,0.25053924712133996,0.9144032928188152,0.9004115234186619
112,4,34,36,10,19,0.30467836040578544,16,0.0036271002523306484,0.26157259636945684,0.9102880662360799,0.9028806583871567
113,3,44,47,16,22,0.22411516281533073,16,0.0003122442823092858,0.23969599253846785,0.8905349805031294,0.9168724291118575
114,5,54,11,42,80,0.3703296089452409,32,0.0002669478494034321,0.23534219830369754,0.9045267492655373,0.9127572010083453
115,5,58,10,19,53,0.396831683066595,16,0.00045778405383766163,0.21927510097684194,0.8995884786908028,0.9209876542719304
116,5,21,28,30,58,0.2586370510856858,8,0.00030937875717301365,0.19771593485962707,0.9176954739868887,0.9193415643256386
117,3,24,27,23,47,0.011449756505443887,16,0.000501996513311008,0.23528829657246547,0.9102880661379652,0.9267489699669825
118,3,26,33,50,58,0.19628175119636992,16,0.0002927294835042816,0.2450389853598159,0.9028806591720737,0.9012345681955786
119,4,40,38,20,83,0.127148896375263,32,0.00016003103137387001,0.2440545770121209,0.8921810705965928,0.8888888889379463
120,2,59,17,35,51,0.3301137238049685,32,0.0034636941773717343,0.23433419678191586,0.9292181075355153,0.9366255150410373
121,4,35,25,48,67,0.2305754385973564,8,0.0015107033044866557,0.20186513743282836,0.931687243436099,0.9251028810999522
122,5,55,26,45,39,0.15493237931797005,8,0.00031952475057592136,0.1906644373028367,0.9209876548606182,0.9341563782083645
123,4,29,21,48,58,0.08501733125010402,8,0.002373424250023866,0.2502053471381772,0.9144032918867261,0.9251028813452388
124,5,24,46,30,59,0.09579989147313206,32,0.0007359814475265771,0.23011432944992444,0.8995884783474016,0.9209876546153316
125,4,28,49,17,90,0.07700061670816588,8,0.0010642092440647246,0.19810366159603918,0.9259259268089577,0.9423868320606374
126,4,36,38,17,35,0.09713548433701091,8,0.008470868266557402,0.2843074111536207,0.8880658437685712,0.9069958849698917
127,3,16,10,17,91,0.41907817712733475,16,0.0001288576213185518,1.8142210740611386,0.3045267486032635,0.27983539100782373
128,2,14,35,34,42,0.12813529939143187,32,0.0005898896425508494,0.2218616420594753,0.913580247796612,0.9176954734472581
129,5,32,15,40,37,0.1732349414059856,32,0.00025966559729348725,0.26863633622357874,0.8921810702531918,0.90041152327149
130,5,13,28,11,75,0.009533429850202335,32,0.0004928249570040513,0.2201123465235832,0.9176954729566849,0.9325102880167864
131,5,59,44,47,45,0.3393833345234681,16,0.0009976977642363201,0.26054705623000735,0.8905349794729256,0.9209876534379559
132,2,26,18,14,43,0.2607942359985509,16,0.005244688749495119,0.2574674526114523,0.9160493839424824,0.9012345672634894
133,4,24,29,33,99,0.10052992998675503,8,0.00031513634848664794,0.19405847745238508,0.9259259264164992,0.9399176955223083
134,4,29,25,22,27,0.3005203072919901,16,0.004985373463873894,0.22754328138053173,0.917695473888774,0.9111111107186526
135,4,33,12,36,62,0.12253325246111318,16,0.007548799281653432,0.2460446722958804,0.9119341576050338,0.9201646090044406
136,3,59,16,14,46,0.15184751403051244,8,0.0002900430493863992,0.2518180065930135,0.8979423878124221,0.8962962965906403
137,4,51,24,44,82,0.31679347932188373,16,0.000318055201533292,0.20980337546686084,0.9160493825198202,0.9160493826669921
138,3,26,37,30,73,0.4611721290066729,16,0.00047498148032285,0.2221753944707996,0.9053497945330271,0.9020576127762657
139,2,25,20,21,82,0.029169727878692764,32,0.002520004993764092,0.23447726552869064,0.9078189303354962,0.9086419740822091
140,3,10,42,31,78,0.25319432731759367,16,0.01,0.2899109358159603,0.8971193424468179,0.8806584361649346
141,2,39,42,11,21,0.4258116395937187,16,0.0003585539857459817,0.2534220977084627,0.8872427986482535,0.904526749510824
142,3,45,25,47,65,0.4997743692924208,32,0.0038333951017666015,0.20464476490462266,0.9209876546153316,0.9316872421606087
143,4,43,24,42,54,0.26288212859092325,16,0.0012679528467864339,0.20854467082416078,0.9152263383315915,0.9185185188128624
144,3,28,19,28,25,0.06223930030757524,32,0.003798215306190736,0.2800117075443268,0.8995884783474015,0.9242798349984879
145,3,27,34,45,94,0.20378009152610427,8,0.001084014359178331,0.21267636071262044,0.9086419751124126,0.9226337445616233
146,2,60,14,46,71,0.365952189776869,16,0.0026026478819690044,0.17680402468016115,0.9325102874280985,0.9423868312266628
147,3,32,12,43,75,0.015259529962661889,8,0.000520854855057766,0.19084558827886855,0.9349794232305676,0.9316872436813857
148,5,41,11,21,15,0.22631377329921704,16,0.0004023505548869293,0.22356197019663368,0.9045267489221361,0.9168724285231697
149,2,24,28,22,98,0.48935232776091103,32,0.002287490817355704,0.22246831791636384,0.9127572025291224,0.9078189299920949
150,3,48,33,25,55,0.41732142602409694,32,0.0005454271305329836,0.21084472690344835,0.9234567904178007,0.9292181071921141
151,4,11,28,17,26,0.4622269250489851,32,0.006634708121092351,0.26513827813505636,0.8880658442591443,0.8987654326383959
152,4,58,29,32,84,0.15100393458439826,8,0.004361537789208006,0.2769868045064157,0.8839506180198103,0.9004115230752607
153,2,13,35,46,74,0.45650249960738903,8,0.0006205728806776501,0.37003614922119266,0.8024691367836155,0.8765432103671165
154,3,18,23,10,43,0.4371713449885257,8,0.002566902715491952,0.23716127298496387,0.9094650221459659,0.8930041151772802
155,4,44,14,43,51,0.16968163250487878,32,0.003940901640403447,0.2601718201558777,0.9193415638350656,0.9349794235739688
156,2,31,25,38,16,0.19971899691922868,8,0.0036776091016010306,0.2540872720533928,0.902057614051756,0.9209876556945925
157,3,59,45,49,63,0.2566976578993782,32,0.00055302242561929,0.21438606078487368,0.9201646101818163,0.930041153244521
158,5,58,49,33,77,0.3550182628512088,32,0.0033537101520029287,0.2556608312445167,0.920164608906326,0.9152263368108147
159,5,58,16,12,43,0.28139759225335464,16,0.0015459277364194785,0.23286807676892224,0.9185185188128624,0.9242798358324624
160,2,25,42,33,57,0.4469915348533585,32,0.00697981390783066,0.2758713185603236,0.8880658446025457,0.8995884773171978
161,4,32,13,31,86,0.2760947817102977,32,0.00011221477682079803,0.503757599204656,0.8106995906849457,0.7983539099555937
162,3,20,20,15,44,0.1774626236389904,8,0.00047498148032285,0.2168939513802038,0.9168724288665707,0.9226337453955977
163,5,47,33,26,41,0.4402519357845922,8,0.0009353431520292386,0.3030344863487369,0.8477366277219828,0.9176954732510288
164,4,35,46,23,95,0.2641906717700459,32,0.00011536181017364785,0.22487725413139953,0.9135802480418986,0.9226337453955977
165,2,10,19,26,94,0.32754037416187315,16,0.00034877274748141776,0.4149736990286,0.8296296298749162,0.8296296302673747
166,3,38,26,39,86,0.2991014034289306,16,0.0048270709656031835,0.23979504850420935,0.9061728408307206,0.9316872430926978
167,5,42,43,37,92,0.12875692255984794,16,0.007275483529196233,0.3035367585258719,0.8806584360177625,0.8913580258196763
168,3,34,40,37,69,0.23049797720141502,8,0.0012856096069432965,0.19754086963433787,0.9341563791404536,0.9242798359305769
169,3,47,18,33,53,0.17201141772291795,16,0.003158635408267819,0.22974692930164647,0.916872427345794,0.9300411525577184
170,5,45,48,30,47,0.2876790898551116,8,0.004401935185208874,0.2782859544572516,0.8897119344507226,0.8691358020766773
171,3,10,39,35,15,0.45062915935551423,8,0.0019287915080207778,0.298553742057502,0.876543209238798,0.8510288078107952
172,5,10,37,44,29,0.4833095260958934,16,0.002256074066496859,0.3519823890899925,0.8353909452756246,0.8477366242879703
173,5,48,18,16,57,0.4301762543607545,16,0.0003361449000108765,0.22699400995984487,0.8979423857029574,0.9086419758482727
174,2,56,21,21,56,0.2107717229899736,32,0.005293266058360562,0.27623261907463703,0.9012345685389797,0.9053497957104026
175,3,57,15,43,83,0.22911196943051898,8,0.003798215306190736,0.23024536827464162,0.9316872425040099,0.9201646095931284
176,2,16,47,19,52,0.08640380181281465,16,0.0008890965989529158,0.21248939069210254,0.9242798359305772,0.9135802468645229
177,3,55,25,47,84,0.49621828588028144,16,0.0001259215613694151,0.2905992598445327,0.8641975316981719,0.8913580254272178
178,5,32,39,41,77,0.4706131954570887,8,0.00012248646137509307,0.1983341267202126,0.9119341564276582,0.9152263373995024
179,4,48,42,35,64,0.4346735467217777,16,0.001422830457214352,0.22646381195190018,0.9160493830103933,0.9086419764369603
180,3,60,29,28,47,0.2692969149784002,8,0.0074451229107951435,0.3184047668681714,0.8716049386640636,0.8600823038890038
181,3,55,26,30,99,0.49518320227980145,16,0.0009749649183484086,0.21209705590956496,0.9193415649143265,0.9061728388684276
